Experiment,Date,Ping_Target,Tracked_Interface,Fail_Start_Time,Fail_End_Time,Failover_Duration_sec,Ping_Loss_Duration_sec,Total_Pings,Successful_Pings,Lost_Pings,Packet_Loss_Percent,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,CPU_Before,CPU_After,Jitter_ms,Median_Latency_ms,Latency_95th_ms,Latency_99th_ms
38,2025-12-12 10:38:40,1.1.1.1,GigabitEthernet0/0,2.282,5.321,3.0381,3.0381,126,123,3,2.380952380952381,7.6479427213591284,4.594564437866211,26.129722595214844,3.0,12.0,3.286,6.702,12.772,21.664
39,2025-12-12 10:39:04,1.1.1.1,GigabitEthernet0/0,2.24,5.277,3.037,3.037,130,127,3,2.307692307692308,7.025065384511873,3.924131393432617,10.980606079101562,1.0,13.0,1.263,6.857,9.161,10.141
40,2025-12-12 10:39:28,1.1.1.1,GigabitEthernet0/0,2.315,6.363,4.0481,4.0481,130,126,4,3.076923076923077,7.4694932453216065,4.512786865234375,23.257732391357422,2.0,8.0,2.638,6.966,11.792,15.482
41,2025-12-12 10:39:52,1.1.1.1,GigabitEthernet0/0,2.298,6.345,4.0468,4.0468,123,119,4,3.2520325203252036,8.331679496444574,4.233360290527344,31.965255737304688,1.0,8.0,4.63,7.061,20.509,26.851
42,2025-12-12 10:40:17,1.1.1.1,GigabitEthernet0/0,2.37,6.424,4.0534,4.0534,128,124,4,3.125,8.338347558052309,3.504037857055664,29.29234504699707,3.0,12.0,4.28,7.251,19.846,24.218
43,2025-12-12 10:40:42,1.1.1.1,GigabitEthernet0/0,2.264,5.301,3.0369,3.0369,125,122,3,2.4,7.742096166141698,4.211187362670898,14.515161514282227,2.0,14.0,1.834,7.361,10.731,12.675
44,2025-12-12 10:41:06,1.1.1.1,GigabitEthernet0/0,2.232,6.28,4.0483,4.0483,121,117,4,3.3057851239669422,8.423391570392837,4.273891448974609,27.658462524414062,1.0,13.0,3.944,7.639,11.762,25.196
45,2025-12-12 10:41:30,1.1.1.1,GigabitEthernet0/0,2.229,5.266,3.0365,3.0365,129,126,3,2.3255813953488373,7.058416094098773,3.858327865600586,22.17555046081543,2.0,14.0,2.059,6.796,10.177,11.252
46,2025-12-12 10:41:54,1.1.1.1,GigabitEthernet0/0,2.245,5.281,3.0362,3.0362,127,124,3,2.3622047244094486,7.509866068440099,4.643917083740234,16.019344329833984,2.0,13.0,1.981,7.094,11.335,12.88
47,2025-12-12 10:42:17,1.1.1.1,GigabitEthernet0/0,2.243,5.279,3.0358,3.0358,133,130,3,2.2556390977443606,6.695026617783767,3.6923885345458984,17.9443359375,1.0,14.0,1.672,6.527,9.215,10.103
48,2025-12-12 10:42:41,1.1.1.1,GigabitEthernet0/0,2.328,5.364,3.0357,3.0357,135,132,3,2.2222222222222223,6.903850671016809,4.281759262084961,13.492107391357422,9.0,14.0,1.476,6.72,9.36,11.084
49,2025-12-12 10:43:05,1.1.1.1,GigabitEthernet0/0,2.305,6.354,4.0494,4.0494,130,126,4,3.076923076923077,7.603575312902057,4.523277282714844,12.312173843383789,2.0,9.0,1.701,7.326,10.582,11.192
50,2025-12-12 10:43:29,1.1.1.1,GigabitEthernet0/0,2.216,6.263,4.0472,4.0472,124,120,4,3.225806451612903,7.866537570953369,4.562616348266602,19.69313621520996,1.0,15.0,2.43,7.349,12.74,14.725
51,2025-12-12 10:43:54,1.1.1.1,GigabitEthernet0/0,2.273,5.309,3.036,3.036,131,128,3,2.2900763358778624,7.119663059711456,4.691123962402344,15.218019485473633,2.0,14.0,1.761,6.652,10.21,12.392
52,2025-12-12 10:44:18,1.1.1.1,GigabitEthernet0/0,2.316,5.359,3.0425,3.0425,117,114,3,2.564102564102564,9.340336448267886,4.22215461730957,50.02903938293457,3.0,16.0,6.871,7.333,21.844,33.641
53,2025-12-12 10:44:42,1.1.1.1,GigabitEthernet0/0,2.244,6.292,4.0483,4.0483,130,126,4,3.076923076923077,7.176594128684392,4.479169845581055,14.682531356811523,2.0,10.0,1.66,7.0,9.535,12.923
54,2025-12-12 10:45:07,1.1.1.1,GigabitEthernet0/0,2.244,6.293,4.0488,4.0488,125,121,4,3.2,7.693810896439985,3.9365291595458984,17.243623733520508,2.0,10.0,2.227,6.999,11.799,13.723
55,2025-12-12 10:45:31,1.1.1.1,GigabitEthernet0/0,2.306,6.354,4.0481,4.0481,133,129,4,3.007518796992481,7.258221160533816,4.157781600952148,28.988361358642578,2.0,14.0,2.383,6.808,9.824,11.382
56,2025-12-12 10:45:56,1.1.1.1,GigabitEthernet0/0,2.285,6.333,4.0487,4.0487,130,126,4,3.076923076923077,7.404503368196034,4.540205001831055,21.939992904663086,3.0,10.0,2.786,6.978,10.001,21.006
57,2025-12-12 10:46:21,1.1.1.1,GigabitEthernet0/0,2.26,5.297,3.0363,3.0363,131,128,3,2.2900763358778624,7.000673562288284,3.6773681640625,14.85133171081543,2.0,13.0,1.537,6.802,9.667,10.011
58,2025-12-12 10:46:45,1.1.1.1,GigabitEthernet0/0,2.22,5.256,3.0357,3.0357,130,127,3,2.307692307692308,6.894342542633297,4.526853561401367,15.878438949584961,4.0,13.0,1.679,6.53,9.853,11.191
59,2025-12-12 10:47:08,1.1.1.1,GigabitEthernet0/0,2.22,6.268,4.0482,4.0482,127,123,4,3.149606299212598,7.408380508422852,4.4956207275390625,17.871379852294922,2.0,11.0,2.202,6.981,11.89,13.775
60,2025-12-12 10:47:33,1.1.1.1,GigabitEthernet0/0,2.281,6.329,4.0477,4.0477,131,127,4,3.0534351145038165,7.3011616083580675,3.9849281311035156,20.57671546936035,3.0,13.0,1.895,7.182,10.181,10.965
61,2025-12-12 10:47:58,1.1.1.1,GigabitEthernet0/0,2.249,5.285,3.0362,3.0362,125,122,3,2.4,7.832534977647125,4.230976104736328,37.37664222717285,2.0,11.0,3.561,7.166,11.619,18.281
62,2025-12-12 10:48:21,1.1.1.1,GigabitEthernet0/0,2.29,6.338,4.0478,4.0478,133,129,4,3.007518796992481,7.072883058888044,3.586292266845703,11.77978515625,3.0,20.0,1.69,6.732,9.97,10.526
63,2025-12-12 10:48:46,1.1.1.1,GigabitEthernet0/0,2.397,5.436,3.0397,3.0397,134,131,3,2.2388059701492535,7.509484545875142,3.8864612579345703,24.0786075592041,6.0,13.0,3.242,6.568,12.221,21.055
64,2025-12-12 10:49:10,1.1.1.1,GigabitEthernet0/0,2.296,6.345,4.0488,4.0488,131,127,4,3.0534351145038165,7.3765469348336765,4.558801651000977,26.045799255371094,2.0,9.0,2.5,6.982,9.903,12.7
65,2025-12-12 10:49:34,1.1.1.1,GigabitEthernet0/0,2.382,5.42,3.0382,3.0382,132,129,3,2.272727272727273,7.633552994838981,4.542350769042969,16.716480255126953,2.0,16.0,2.047,7.298,11.38,13.347
66,2025-12-12 10:49:58,1.1.1.1,GigabitEthernet0/0,2.223,6.272,4.0492,4.0492,119,115,4,3.361344537815126,8.599979981132176,3.946542739868164,28.736591339111328,2.0,11.0,4.81,6.8,19.654,27.334
67,2025-12-12 10:50:23,1.1.1.1,GigabitEthernet0/0,2.234,6.281,4.0467,4.0467,125,121,4,3.2,7.601401037421108,4.412651062011719,24.20639991760254,2.0,16.0,3.2,6.865,14.202,20.68
68,2025-12-12 10:50:48,1.1.1.1,GigabitEthernet0/0,2.374,5.409,3.0358,3.0358,126,123,3,2.380952380952381,8.24788333923836,5.109310150146484,20.265579223632812,3.0,19.0,2.579,7.684,13.245,16.026
69,2025-12-12 10:51:12,1.1.1.1,GigabitEthernet0/0,2.243,5.279,3.036,3.036,133,130,3,2.2556390977443606,6.671434182387132,4.530429840087891,13.417482376098633,3.0,14.0,1.376,6.577,8.719,9.61
70,2025-12-12 10:51:35,1.1.1.1,GigabitEthernet0/0,2.247,5.284,3.0369,3.0369,129,126,3,2.3255813953488373,7.183273633321126,4.248142242431641,14.578104019165039,2.0,12.0,1.828,6.793,10.305,12.484
71,2025-12-12 10:51:59,1.1.1.1,GigabitEthernet0/0,2.288,6.336,4.0478,4.0478,128,124,4,3.125,7.743093275254773,3.955841064453125,14.701128005981445,5.0,14.0,2.018,7.308,11.167,12.034
72,2025-12-12 10:52:24,1.1.1.1,GigabitEthernet0/0,2.238,5.273,3.0351,3.0351,125,122,3,2.4,7.623054942146677,4.488468170166016,26.619911193847656,2.0,8.0,3.56,6.808,9.557,23.307
73,2025-12-12 10:52:47,1.1.1.1,GigabitEthernet0/0,2.327,6.374,4.0473,4.0473,135,131,4,2.9629629629629632,7.1208950217443565,3.9284229278564453,11.352777481079102,3.0,13.0,1.398,6.858,9.605,10.731
74,2025-12-12 10:53:12,1.1.1.1,GigabitEthernet0/0,2.257,5.294,3.0366,3.0366,129,126,3,2.3255813953488373,7.304833048865909,3.967761993408203,13.885259628295898,2.0,13.0,1.803,6.757,10.581,11.756
75,2025-12-12 10:53:36,1.1.1.1,GigabitEthernet0/0,2.258,5.338,3.0803,3.0803,81,78,3,3.7037037037037033,7.31196464636387,5.156755447387695,11.008262634277344,2.0,12.0,1.24,7.301,9.143,10.762
76,2025-12-12 10:54:00,1.1.1.1,GigabitEthernet0/0,2.278,6.387,4.1093,4.1093,83,79,4,4.819277108433735,7.86482533322105,4.674196243286133,48.61783981323242,1.0,9.0,4.979,6.88,11.013,15.9
77,2025-12-12 10:54:24,1.1.1.1,GigabitEthernet0/0,2.253,6.353,4.1004,4.1004,80,76,4,5.0,9.498354635740581,4.7168731689453125,30.289888381958008,1.0,8.0,5.005,8.279,18.301,27.92
78,2025-12-12 10:54:49,1.1.1.1,GigabitEthernet0/0,2.248,5.313,3.0656,3.0656,76,73,3,3.9473684210526314,8.92698928101422,4.828214645385742,37.84990310668945,3.0,11.0,5.942,6.984,20.458,30.491
79,2025-12-12 10:55:13,1.1.1.1,GigabitEthernet0/0,2.256,5.333,3.0764,3.0764,81,78,3,3.7037037037037033,7.685514596792368,4.595518112182617,13.811111450195312,6.0,12.0,2.165,7.139,12.769,13.465
80,2025-12-12 10:55:37,1.1.1.1,GigabitEthernet0/0,2.283,5.357,3.0732,3.0732,80,77,3,3.75,7.86863983451546,3.500223159790039,27.205467224121094,2.0,12.0,3.832,6.963,13.66,26.205
81,2025-12-12 10:56:00,1.1.1.1,GigabitEthernet0/0,2.28,6.386,4.1062,4.1062,82,78,4,4.878048780487805,8.66554027948624,4.746913909912109,31.67724609375,2.0,9.0,5.303,7.164,20.438,31.66
