Experiment,Date,Ping_Target,Tracked_Interface,Fail_Start_Time,Fail_End_Time,Failover_Duration_sec,Ping_Loss_Duration_sec,Total_Pings,Successful_Pings,Lost_Pings,Packet_Loss_Percent,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,CPU_Before,CPU_After,Jitter_ms,Median_Latency_ms,Latency_95th_ms,Latency_99th_ms
57,2025-12-12 14:25:12,1.1.1.1,GigabitEthernet0/0,2.243,6.293,4.0495,4.0495,130,126,4,3.076923076923077,7.198611895243327,4.473686218261719,13.997077941894531,2.0,11.0,1.567,6.849,9.592,12.33
58,2025-12-12 14:25:37,1.1.1.1,GigabitEthernet0/0,2.254,6.303,4.0488,4.0488,122,118,4,3.278688524590164,8.232092453261552,4.2247772216796875,30.675888061523438,2.0,14.0,4.257,7.331,17.761,25.439
59,2025-12-12 14:26:02,1.1.1.1,GigabitEthernet0/0,2.343,5.38,3.0373,3.0373,127,124,3,2.3622047244094486,8.036928792153635,5.2585601806640625,18.510818481445312,2.0,14.0,2.366,7.492,13.062,15.243
60,2025-12-12 14:26:25,1.1.1.1,GigabitEthernet0/0,2.309,6.358,4.0492,4.0492,121,117,4,3.3057851239669422,8.743522513625969,5.146026611328125,52.89196968078613,3.0,14.0,5.526,7.599,16.088,27.766
61,2025-12-12 14:26:50,1.1.1.1,GigabitEthernet0/0,2.279,6.327,4.0483,4.0483,135,131,4,2.9629629629629632,6.653350728158732,4.7092437744140625,10.641813278198242,8.0,11.0,1.18,6.51,8.799,9.763
62,2025-12-12 14:27:15,1.1.1.1,GigabitEthernet0/0,2.27,6.32,4.05,4.05,127,123,4,3.149606299212598,7.787799447532592,3.9632320404052734,15.386343002319336,3.0,9.0,1.579,7.645,10.3,11.154
63,2025-12-12 14:27:40,1.1.1.1,GigabitEthernet0/0,2.281,6.33,4.0496,4.0496,131,127,4,3.0534351145038165,7.234042085061862,4.348993301391602,11.73853874206543,2.0,8.0,1.344,7.197,9.498,10.154
64,2025-12-12 14:28:05,1.1.1.1,GigabitEthernet0/0,2.228,6.277,4.0492,4.0492,125,121,4,3.2,7.785034573767796,4.657268524169922,15.758037567138672,2.0,9.0,1.94,7.382,10.82,14.671
65,2025-12-12 14:28:29,1.1.1.1,GigabitEthernet0/0,2.226,6.275,4.0488,4.0488,126,122,4,3.1746031746031744,7.51430480206599,4.482269287109375,11.055946350097656,2.0,11.0,1.353,7.461,9.836,10.781
66,2025-12-12 14:28:54,1.1.1.1,GigabitEthernet0/0,2.315,6.372,4.0572,4.0572,137,133,4,2.9197080291970803,6.711194389744809,3.978729248046875,10.704994201660156,1.0,10.0,1.019,6.62,8.333,9.523
67,2025-12-12 14:29:19,1.1.1.1,GigabitEthernet0/0,2.25,6.302,4.0514,4.0514,119,115,4,3.361344537815126,8.628076055775518,4.683732986450195,30.086994171142578,2.0,8.0,5.042,6.971,23.196,25.335
68,2025-12-12 14:29:44,1.1.1.1,GigabitEthernet0/0,2.247,6.296,4.0486,4.0486,123,119,4,3.2520325203252036,8.088208046280036,4.2896270751953125,16.458511352539062,2.0,15.0,1.899,7.524,11.598,12.905
69,2025-12-12 14:30:08,1.1.1.1,GigabitEthernet0/0,2.298,6.347,4.0487,4.0487,123,119,4,3.2520325203252036,8.479410860718799,5.197763442993164,25.14338493347168,2.0,15.0,3.913,7.533,15.351,24.612
70,2025-12-12 14:30:33,1.1.1.1,GigabitEthernet0/0,2.268,6.318,4.0493,4.0493,124,120,4,3.225806451612903,8.094797531763712,4.648447036743164,19.8209285736084,1.0,9.0,2.44,7.517,13.151,15.147
